date,Mkt-RF,SMB,HML,RF
198101,   -5.04,    2.92,    6.72,    1.04
198102,    0.57,   -0.34,    1.02,    1.07
198103,    3.56,    3.54,    0.64,    1.21
198104,   -2.11,    4.40,    2.28,    1.08
198105,    0.11,    2.00,   -0.42,    1.15
198106,   -2.36,   -0.83,    5.13,    1.35
198107,   -1.54,   -2.19,   -0.50,    1.24
198108,   -7.04,   -1.95,    4.76,    1.28
198109,   -7.17,   -2.65,    5.17,    1.24
198110,    4.92,    2.23,   -4.21,    1.21
198111,    3.36,   -1.03,    1.83,    1.07
198112,   -3.65,    1.20,    0.81,    0.87
198201,   -3.24,   -1.28,    3.19,    0.80
198202,   -5.86,    0.44,    6.05,    0.92
198203,   -1.87,   -0.21,    3.81,    0.98
198204,    3.27,    1.47,   -2.70,    1.13
198205,   -3.99,    0.52,    1.75,    1.06
198206,   -3.09,   -0.40,    1.53,    0.96
198207,   -3.19,    0.83,    0.09,    1.05
198208,   11.14,   -4.14,    0.95,    0.76
198209,    1.29,    2.95,    0.28,    0.51
198210,   11.30,    2.34,   -3.66,    0.59
198211,    4.67,    4.67,   -1.87,    0.63
198212,    0.55,   -0.22,   -0.02,    0.67
198301,    3.60,    2.73,   -0.75,    0.69
198302,    2.59,    3.27,    0.70,    0.62
198303,    2.82,    1.73,    2.02,    0.63
198304,    6.67,    0.50,    0.49,    0.71
198305,    0.52,    6.24,   -1.40,    0.69
198306,    3.07,    0.95,   -3.90,    0.67
198307,   -4.07,    1.50,    5.62,    0.74
198308,   -0.50,   -4.28,    5.54,    0.76
198309,    0.91,    0.61,    1.01,    0.76
198310,   -3.44,   -3.57,    4.97,    0.76
198311,    2.16,    2.01,   -0.72,    0.70
198312,   -1.78,   -0.27,    1.73,    0.73
198401,   -1.92,   -0.38,    7.58,    0.76
198402,   -4.82,   -1.69,    3.33,    0.71
198403,    0.63,    0.07,    0.46,    0.73
198404,   -0.51,   -1.16,    1.20,    0.81
198405,   -5.97,    0.06,    0.31,    0.78
198406,    1.82,   -0.30,   -2.66,    0.75
198407,   -2.74,   -2.21,    0.36,    0.82
198408,   10.28,   -0.24,   -1.82,    0.83
198409,   -0.80,    0.17,    5.28,    0.86
198410,   -0.84,   -1.23,    0.45,    1.00
198411,   -1.76,   -0.65,    4.06,    0.73
198412,    1.84,   -0.56,   -0.26,    0.64
198501,    7.99,    3.31,   -5.35,    0.65
198502,    1.22,    0.79,   -0.10,    0.58
198503,   -0.84,   -1.08,    4.07,    0.62
198504,   -0.96,    0.14,    3.72,    0.72
198505,    5.09,   -2.22,   -0.96,    0.66
198506,    1.27,    0.52,    0.38,    0.55
198507,   -0.74,    2.84,   -1.62,    0.62
198508,   -1.02,   -0.30,    2.32,    0.55
198509,   -4.54,   -1.59,    1.29,    0.60
198510,    4.02,   -1.51,    0.75,    0.65
198511,    6.48,    0.25,   -2.85,    0.61
198512,    3.88,   -0.51,   -1.54,    0.65
198601,    0.65,    1.21,    0.44,    0.56
198602,    7.13,   -0.54,   -0.72,    0.53
198603,    4.88,   -0.59,   -0.39,    0.60
198604,   -1.31,    2.78,   -2.87,    0.52
198605,    4.62,   -1.35,   -0.21,    0.49
198606,    1.03,   -0.96,    1.28,    0.52
198607,   -6.45,   -3.36,    4.70,    0.52
198608,    6.07,   -4.17,    3.51,    0.46
198609,   -8.60,    2.36,    3.22,    0.45
198610,    4.66,   -2.50,   -1.42,    0.46
198611,    1.17,   -1.91,   -0.07,    0.39
198612,   -3.27,    0.13,    0.36,    0.49
198701,   12.47,   -1.81,   -3.16,    0.42
198702,    4.39,    3.49,   -5.91,    0.43
198703,    1.64,    0.45,    1.61,    0.47
198704,   -2.11,   -1.69,   -0.39,    0.44
198705,    0.11,   -0.50,    0.23,    0.38
198706,    3.94,   -2.12,    1.04,    0.48
198707,    3.85,   -0.69,    0.68,    0.46
198708,    3.52,   -0.77,   -0.93,    0.47
198709,   -2.59,    0.54,    0.27,    0.45
198710,  -23.24,   -8.43,    4.24,    0.60
198711,   -7.77,    2.72,    2.95,    0.35
